# Final state angular momentum:   1
# Broadening parameter (in eV):    0.800
# Absorbing atom type (xiabs):   1
# Energy (eV)   sigma
    3.17317317    0.00612911
    3.21321321    0.00624201
    3.25325325    0.00635876
    3.29329329    0.00647958
    3.33333333    0.00660466
    3.37337337    0.00673423
    3.41341341    0.00686852
    3.45345345    0.00700779
    3.49349349    0.00715231
    3.53353353    0.00730236
    3.57357357    0.00745825
    3.61361361    0.00762031
    3.65365365    0.00778887
    3.69369369    0.00796431
    3.73373373    0.00814702
    3.77377377    0.00833742
    3.81381381    0.00853596
    3.85385385    0.00874311
    3.89389389    0.00895935
    3.93393393    0.00918524
    3.97397397    0.00942131
    4.01401401    0.00966816
    4.05405405    0.00992638
    4.09409409    0.01019663
    4.13413413    0.01047955
    4.17417417    0.01077582
    4.21421421    0.01108612
    4.25425425    0.01141113
    4.29429429    0.01175151
    4.33433433    0.01210793
    4.37437437    0.01248097
    4.41441441    0.01287118
    4.45445445    0.01327900
    4.49449449    0.01370475
    4.53453453    0.01414859
    4.57457457    0.01461051
    4.61461461    0.01509024
    4.65465465    0.01558725
    4.69469469    0.01610070
    4.73473473    0.01662943
    4.77477477    0.01717190
    4.81481481    0.01772625
    4.85485485    0.01829026
    4.89489489    0.01886144
    4.93493493    0.01943707
    4.97497497    0.02001432
    5.01501502    0.02059037
    5.05505506    0.02116255
    5.09509510    0.02172849
    5.13513514    0.02228623
    5.17517518    0.02283441
    5.21521522    0.02337228
    5.25525526    0.02389978
    5.29529530    0.02441753
    5.33533534    0.02492670
    5.37537538    0.02542891
    5.41541542    0.02592607
    5.45545546    0.02642014
    5.49549550    0.02691292
    5.53553554    0.02740593
    5.57557558    0.02790017
    5.61561562    0.02839614
    5.65565566    0.02889376
    5.69569570    0.02939249
    5.73573574    0.02989142
    5.77577578    0.03038951
    5.81581582    0.03088575
    5.85585586    0.03137942
    5.89589590    0.03187025
    5.93593594    0.03235853
    5.97597598    0.03284516
    6.01601602    0.03333161
    6.05605606    0.03381979
    6.09609610    0.03431186
    6.13613614    0.03481004
    6.17617618    0.03531641
    6.21621622    0.03583269
    6.25625626    0.03636020
    6.29629630    0.03689975
    6.33633634    0.03745168
    6.37637638    0.03801596
    6.41641642    0.03859231
    6.45645646    0.03918031
    6.49649650    0.03977954
    6.53653654    0.04038970
    6.57657658    0.04101062
    6.61661662    0.04164228
    6.65665666    0.04228477
    6.69669670    0.04293827
    6.73673674    0.04360297
    6.77677678    0.04427912
    6.81681682    0.04496698
    6.85685686    0.04566697
    6.89689690    0.04637968
    6.93693694    0.04710604
    6.97697698    0.04784736
    7.01701702    0.04860538
    7.05705706    0.04938219
    7.09709710    0.05018017
    7.13713714    0.05100176
    7.17717718    0.05184921
    7.21721722    0.05272429
    7.25725726    0.05362800
    7.29729730    0.05456027
    7.33733734    0.05551978
    7.37737738    0.05650383
    7.41741742    0.05750829
    7.45745746    0.05852775
    7.49749750    0.05955568
    7.53753754    0.06058470
    7.57757758    0.06160691
    7.61761762    0.06261419
    7.65765766    0.06359848
    7.69769770    0.06455199
    7.73773774    0.06546734
    7.77777778    0.06633760
    7.81781782    0.06715632
    7.85785786    0.06791756
    7.89789790    0.06861586
    7.93793794    0.06924646
    7.97797798    0.06980536
    8.01801802    0.07028966
    8.05805806    0.07069778
    8.09809810    0.07102976
    8.13813814    0.07128740
    8.17817818    0.07147435
    8.21821822    0.07159608
    8.25825826    0.07165966
    8.29829830    0.07167347
    8.33833834    0.07164687
    8.37837838    0.07158982
    8.41841842    0.07151250
    8.45845846    0.07142507
    8.49849850    0.07133744
    8.53853854    0.07125917
    8.57857858    0.07119939
    8.61861862    0.07116681
    8.65865866    0.07116975
    8.69869870    0.07121611
    8.73873874    0.07131337
    8.77877878    0.07146848
    8.81881882    0.07168768
    8.85885886    0.07197628
    8.89889890    0.07233830
    8.93893894    0.07277614
    8.97897898    0.07329018
    9.01901902    0.07387841
    9.05905906    0.07453614
    9.09909910    0.07525574
    9.13913914    0.07602659
    9.17917918    0.07683509
    9.21921922    0.07766494
    9.25925926    0.07849749
    9.29929930    0.07931228
    9.33933934    0.08008781
    9.37937938    0.08080224
    9.41941942    0.08143427
    9.45945946    0.08196392
    9.49949950    0.08237334
    9.53953954    0.08264742
    9.57957958    0.08277434
    9.61961962    0.08274600
    9.65965966    0.08255823
    9.69969970    0.08221097
    9.73973974    0.08170821
    9.77977978    0.08105781
    9.81981982    0.08027119
    9.85985986    0.07936288
    9.89989990    0.07834990
    9.93993994    0.07725111
    9.97997998    0.07608643
   10.02002002    0.07487611
   10.06006006    0.07364002
   10.10010010    0.07239702
   10.14014014    0.07116447
   10.18018018    0.06995786
   10.22022022    0.06879062
   10.26026026    0.06767400
   10.30030030    0.06661714
   10.34034034    0.06562714
   10.38038038    0.06470921
   10.42042042    0.06386683
   10.46046046    0.06310190
   10.50050050    0.06241480
   10.54054054    0.06180449
   10.58058058    0.06126860
   10.62062062    0.06080344
   10.66066066    0.06040414
   10.70070070    0.06006476
   10.74074074    0.05977854
   10.78078078    0.05953817
   10.82082082    0.05933620
   10.86086086    0.05916546
   10.90090090    0.05901956
   10.94094094    0.05889333
   10.98098098    0.05878321
   11.02102102    0.05868756
   11.06106106    0.05860674
   11.10110110    0.05854314
   11.14114114    0.05850090
   11.18118118    0.05848563
   11.22122122    0.05850394
   11.26126126    0.05856294
   11.30130130    0.05866978
   11.34134134    0.05883113
   11.38138138    0.05905286
   11.42142142    0.05933970
   11.46146146    0.05969505
   11.50150150    0.06012093
   11.54154154    0.06061794
   11.58158158    0.06118541
   11.62162162    0.06182161
   11.66166166    0.06252401
   11.70170170    0.06328959
   11.74174174    0.06411522
   11.78178178    0.06499794
   11.82182182    0.06593528
   11.86186186    0.06692538
   11.90190190    0.06796707
   11.94194194    0.06905974
   11.98198198    0.07020309
   12.02202202    0.07139679
   12.06206206    0.07263995
   12.10210210    0.07393073
   12.14214214    0.07526580
   12.18218218    0.07664004
   12.22222222    0.07804627
