# Final state angular momentum:   1
# Broadening parameter (in eV):    0.800
# Absorbing atom type (xiabs):   1
# Energy (eV)   sigma
   26.00600601    0.00286358
   26.11611612    0.00285034
   26.22622623    0.00284528
   26.33633634    0.00284868
   26.44644645    0.00286124
   26.55655656    0.00288379
   26.66666667    0.00291661
   26.77677678    0.00295875
   26.88688689    0.00300749
   26.99699700    0.00305846
   27.10710711    0.00310664
   27.21721722    0.00314756
   27.32732733    0.00317820
   27.43743744    0.00319711
   27.54754755    0.00320439
   27.65765766    0.00320210
   27.76776777    0.00319445
   27.87787788    0.00318679
   27.98798799    0.00318362
   28.09809810    0.00318666
   28.20820821    0.00319440
   28.31831832    0.00320342
   28.42842843    0.00321062
   28.53853854    0.00321501
   28.64864865    0.00321799
   28.75875876    0.00322228
   28.86886887    0.00323048
   28.97897898    0.00324413
   29.08908909    0.00326318
   29.19919920    0.00328572
   29.30930931    0.00330788
   29.41941942    0.00332396
   29.52952953    0.00332689
   29.63963964    0.00330941
   29.74974975    0.00326611
   29.85985986    0.00319584
   29.96996997    0.00310331
   30.08008008    0.00299846
   30.19019019    0.00289360
   30.30030030    0.00280000
   30.41041041    0.00272554
   30.52052052    0.00267410
   30.63063063    0.00264583
   30.74074074    0.00263775
   30.85085085    0.00264418
   30.96096096    0.00265747
   31.07107107    0.00266922
   31.18118118    0.00267226
   31.29129129    0.00266246
   31.40140140    0.00263961
   31.51151151    0.00260700
   31.62162162    0.00257004
   31.73173173    0.00253466
   31.84184184    0.00250610
   31.95195195    0.00248796
   32.06206206    0.00248168
   32.17217217    0.00248640
   32.28228228    0.00249926
   32.39239239    0.00251611
   32.50250250    0.00253238
   32.61261261    0.00254392
   32.72272272    0.00254739
   32.83283283    0.00254050
   32.94294294    0.00252247
   33.05305305    0.00249466
   33.16316316    0.00246061
   33.27327327    0.00242524
   33.38338338    0.00239336
   33.49349349    0.00236820
   33.60360360    0.00235041
   33.71371371    0.00233780
   33.82382382    0.00232602
   33.93393393    0.00230997
   34.04404404    0.00228572
   34.15415415    0.00225181
   34.26426426    0.00220960
   34.37437437    0.00216236
   34.48448448    0.00211416
   34.59459459    0.00206893
   34.70470470    0.00203007
   34.81481481    0.00200005
   34.92492492    0.00198003
   35.03503504    0.00196961
   35.14514515    0.00196677
   35.25525526    0.00196830
   35.36536537    0.00197058
   35.47547548    0.00197032
   35.58558559    0.00196524
   35.69569570    0.00195417
   35.80580581    0.00193693
   35.91591592    0.00191400
   36.02602603    0.00188627
   36.13613614    0.00185493
   36.24624625    0.00182146
   36.35635636    0.00178744
   36.46646647    0.00175420
