# Final state angular momentum:   1
# Broadening parameter (in eV):    0.500
# Absorbing atom type (xiabs):   1
# Energy (eV)   sigma
   36.75675676    0.00988799
   36.84684685    0.01031169
   36.93693694    0.01106303
   37.02702703    0.01211926
   37.11711712    0.01339723
   37.20720721    0.01470710
   37.29729730    0.01573606
   37.38738739    0.01613469
   37.47747748    0.01571092
   37.56756757    0.01456617
   37.65765766    0.01301392
   37.74774775    0.01137848
   37.83783784    0.00987030
   37.92792793    0.00857947
   38.01801802    0.00751965
   38.10810811    0.00666930
   38.19819820    0.00599614
   38.28828829    0.00546854
   38.37837838    0.00505954
   38.46846847    0.00474774
   38.55855856    0.00451678
   38.64864865    0.00435456
   38.73873874    0.00425251
   38.82882883    0.00420498
   38.91891892    0.00420877
   39.00900901    0.00426294
   39.09909910    0.00436868
   39.18918919    0.00452938
   39.27927928    0.00475083
   39.36936937    0.00504169
   39.45945946    0.00541398
   39.54954955    0.00588395
   39.63963964    0.00647298
   39.72972973    0.00720854
   39.81981982    0.00812460
   39.90990991    0.00926031
   40.00000000    0.01065434
   40.09009009    0.01232996
   40.18018018    0.01426467
   40.27027027    0.01634376
   40.36036036    0.01832309
   40.45045045    0.01986885
   40.54054054    0.02072631
   40.63063063    0.02091277
   40.72072072    0.02071779
   40.81081081    0.02049300
   40.90090090    0.02043606
   40.99099099    0.02049927
   41.08108108    0.02042440
   41.17117117    0.01989897
   41.26126126    0.01877777
   41.35135135    0.01718852
   41.44144144    0.01542080
   41.53153153    0.01374289
   41.62162162    0.01231331
   41.71171171    0.01119177
   41.80180180    0.01038246
   41.89189189    0.00986911
   41.98198198    0.00963434
   42.07207207    0.00966737
   42.16216216    0.00996392
   42.25225225    0.01051876
   42.34234234    0.01130862
   42.43243243    0.01226352
   42.52252252    0.01323601
   42.61261261    0.01400427
   42.70270270    0.01435556
   42.79279279    0.01422305
   42.88288288    0.01374237
   42.97297297    0.01315995
   43.06306306    0.01269976
   43.15315315    0.01249789
   43.24324324    0.01259842
   43.33333333    0.01296102
   43.42342342    0.01346009
   43.51351351    0.01389650
   43.60360360    0.01405984
   43.69369369    0.01383459
   43.78378378    0.01326937
   43.87387387    0.01253990
   43.96396396    0.01184054
   44.05405405    0.01129426
   44.14414414    0.01091946
   44.23423423    0.01063720
   44.32432432    0.01030994
   44.41441441    0.00981729
   44.50450450    0.00913315
   44.59459459    0.00833300
   44.68468468    0.00752921
   44.77477477    0.00680851
   44.86486486    0.00621425
   44.95495495    0.00575808
   45.04504505    0.00543644
   45.13513514    0.00524180
   45.22522523    0.00516801
   45.31531532    0.00521164
   45.40540541    0.00537000
   45.49549550    0.00563552
   45.58558559    0.00598571
   45.67567568    0.00637180
   45.76576577    0.00671805
   45.85585586    0.00694935
   45.94594595    0.00704056
   46.03603604    0.00703979
   46.12612613    0.00703399
   46.21621622    0.00709013
   46.30630631    0.00721580
   46.39639640    0.00734808
   46.48648649    0.00737308
