# Final state angular momentum:   1
# Broadening parameter (in eV):    0.800
# Absorbing atom type (xiabs):   1
# Energy (eV)   sigma
   26.33633634    0.00273510
   26.44644645    0.00272072
   26.55655656    0.00271253
   26.66666667    0.00271381
   26.77677678    0.00272566
   26.88688689    0.00274686
   26.99699700    0.00277441
   27.10710711    0.00280429
   27.21721722    0.00283209
   27.32732733    0.00285375
   27.43743744    0.00286628
   27.54754755    0.00286854
   27.65765766    0.00286189
   27.76776777    0.00285023
   27.87787788    0.00283890
   27.98798799    0.00283279
   28.09809810    0.00283474
   28.20820821    0.00284515
   28.31831832    0.00286287
   28.42842843    0.00288667
   28.53853854    0.00291635
   28.64864865    0.00295298
   28.75875876    0.00299808
   28.86886887    0.00305237
   28.97897898    0.00311462
   29.08908909    0.00318121
   29.19919920    0.00324659
   29.30930931    0.00330433
   29.41941942    0.00334828
   29.52952953    0.00337311
   29.63963964    0.00337472
   29.74974975    0.00335131
   29.85985986    0.00330485
   29.96996997    0.00324193
   30.08008008    0.00317272
   30.19019019    0.00310842
   30.30030030    0.00305842
   30.41041041    0.00302840
   30.52052052    0.00301955
   30.63063063    0.00302878
   30.74074074    0.00304962
   30.85085085    0.00307378
   30.96096096    0.00309296
   31.07107107    0.00310041
   31.18118118    0.00309193
   31.29129129    0.00306612
   31.40140140    0.00302399
   31.51151151    0.00296836
   31.62162162    0.00290315
   31.73173173    0.00283271
   31.84184184    0.00276131
   31.95195195    0.00269252
   32.06206206    0.00262889
   32.17217217    0.00257214
   32.28228228    0.00252376
   32.39239239    0.00248513
   32.50250250    0.00245713
   32.61261261    0.00243935
   32.72272272    0.00243001
   32.83283283    0.00242637
   32.94294294    0.00242586
   33.05305305    0.00242700
   33.16316316    0.00242984
   33.27327327    0.00243558
   33.38338338    0.00244558
   33.49349349    0.00246028
   33.60360360    0.00247831
   33.71371371    0.00249614
   33.82382382    0.00250866
   33.93393393    0.00251050
   34.04404404    0.00249784
   34.15415415    0.00246974
   34.26426426    0.00242833
   34.37437437    0.00237795
   34.48448448    0.00232381
   34.59459459    0.00227076
   34.70470470    0.00222265
   34.81481481    0.00218204
   34.92492492    0.00215013
   35.03503504    0.00212671
   35.14514515    0.00211018
   35.25525526    0.00209786
   35.36536537    0.00208667
   35.47547548    0.00207409
   35.58558559    0.00205880
   35.69569570    0.00204064
   35.80580581    0.00202013
   35.91591592    0.00199790
   36.02602603    0.00197441
   36.13613614    0.00194996
   36.24624625    0.00192475
   36.35635636    0.00189882
   36.46646647    0.00187184
   36.57657658    0.00184297
   36.68668669    0.00181102
   36.79679680    0.00177490
   36.90690691    0.00173413
   37.01701702    0.00168919
   37.12712713    0.00164146
   37.23723724    0.00159278
   37.34734735    0.00154488
   37.45745746    0.00149887
   37.56756757    0.00145519
   37.67767768    0.00141372
   37.78778779    0.00137407
   37.89789790    0.00133577
   38.00800801    0.00129841
   38.11811812    0.00126189
   38.22822823    0.00122666
   38.33833834    0.00119387
   38.44844845    0.00116509
   38.55855856    0.00114186
   38.66866867    0.00112512
   38.77877878    0.00111491
   38.88888889    0.00111024
   38.99899900    0.00110920
   39.10910911    0.00110929
   39.21921922    0.00110796
   39.32932933    0.00110321
   39.43943944    0.00109415
   39.54954955    0.00108111
   39.65965966    0.00106543
   39.76976977    0.00104879
   39.87987988    0.00103262
   39.98998999    0.00101774
   40.10010010    0.00100427
   40.21021021    0.00099183
   40.32032032    0.00097979
   40.43043043    0.00096743
   40.54054054    0.00095408
   40.65065065    0.00093915
   40.76076076    0.00092228
   40.87087087    0.00090347
   40.98098098    0.00088304
   41.09109109    0.00086158
   41.20120120    0.00083976
   41.31131131    0.00081827
   41.42142142    0.00079774
   41.53153153    0.00077886
   41.64164164    0.00076229
   41.75175175    0.00074861
   41.86186186    0.00073822
   41.97197197    0.00073127
   42.08208208    0.00072767
   42.19219219    0.00072710
   42.30230230    0.00072905
   42.41241241    0.00073272
   42.52252252    0.00073705
   42.63263263    0.00074077
   42.74274274    0.00074272
   42.85285285    0.00074207
   42.96296296    0.00073865
   43.07307307    0.00073299
   43.18318318    0.00072610
   43.29329329    0.00071913
   43.40340340    0.00071297
   43.51351351    0.00070803
   43.62362362    0.00070414
   43.73373373    0.00070072
   43.84384384    0.00069698
   43.95395395    0.00069226
   44.06406406    0.00068626
   44.17417417    0.00067911
   44.28428428    0.00067122
   44.39439439    0.00066304
   44.50450450    0.00065490
   44.61461461    0.00064682
   44.72472472    0.00063853
   44.83483483    0.00062957
   44.94494494    0.00061955
   45.05505506    0.00060831
   45.16516517    0.00059607
   45.27527528    0.00058343
   45.38538539    0.00057123
   45.49549550    0.00056036
   45.60560561    0.00055163
   45.71571572    0.00054558
   45.82582583    0.00054240
   45.93593594    0.00054189
   46.04604605    0.00054350
   46.15615616    0.00054639
   46.26626627    0.00054954
   46.37637638    0.00055180
   46.48648649    0.00055204
   46.59659660    0.00054938
   46.70670671    0.00054333
   46.81681682    0.00053393
   46.92692693    0.00052167
   47.03703704    0.00050734
   47.14714715    0.00049179
   47.25725726    0.00047586
   47.36736737    0.00046019
   47.47747748    0.00044519
   47.58758759    0.00043106
   47.69769770    0.00041778
   47.80780781    0.00040525
   47.91791792    0.00039339
   48.02802803    0.00038218
   48.13813814    0.00037169
   48.24824825    0.00036201
   48.35835836    0.00035319
   48.46846847    0.00034523
   48.57857858    0.00033802
   48.68868869    0.00033143
   48.79879880    0.00032534
   48.90890891    0.00031967
   49.01901902    0.00031441
   49.12912913    0.00030952
   49.23923924    0.00030495
   49.34934935    0.00030063
   49.45945946    0.00029652
   49.56956957    0.00029265
   49.67967968    0.00028916
   49.78978979    0.00028624
   49.89989990    0.00028414
   50.01001001    0.00028305
   50.12012012    0.00028304
   50.23023023    0.00028405
   50.34034034    0.00028578
   50.45045045    0.00028780
   50.56056056    0.00028960
   50.67067067    0.00029071
   50.78078078    0.00029081
   50.89089089    0.00028986
   51.00100100    0.00028805
   51.11111111    0.00028574
   51.22122122    0.00028329
   51.33133133    0.00028097
   51.44144144    0.00027889
   51.55155155    0.00027700
   51.66166166    0.00027519
   51.77177177    0.00027329
   51.88188188    0.00027123
   51.99199199    0.00026900
   52.10210210    0.00026666
   52.21221221    0.00026431
   52.32232232    0.00026205
   52.43243243    0.00025993
   52.54254254    0.00025796
   52.65265265    0.00025615
   52.76276276    0.00025452
   52.87287287    0.00025316
   52.98298298    0.00025216
   53.09309309    0.00025161
   53.20320320    0.00025152
   53.31331331    0.00025187
   53.42342342    0.00025258
   53.53353353    0.00025354
   53.64364364    0.00025466
   53.75375375    0.00025587
   53.86386386    0.00025707
   53.97397397    0.00025819
   54.08408408    0.00025913
   54.19419419    0.00025981
   54.30430430    0.00026019
   54.41441441    0.00026026
   54.52452452    0.00026006
   54.63463463    0.00025962
   54.74474474    0.00025900
   54.85485485    0.00025829
   54.96496496    0.00025755
   55.07507508    0.00025686
   55.18518519    0.00025629
   55.29529530    0.00025589
   55.40540541    0.00025570
   55.51551552    0.00025568
   55.62562563    0.00025574
   55.73573574    0.00025566
   55.84584585    0.00025514
   55.95595596    0.00025388
   56.06606607    0.00025162
   56.17617618    0.00024822
   56.28628629    0.00024367
   56.39639640    0.00023809
   56.50650651    0.00023174
   56.61661662    0.00022498
   56.72672673    0.00021822
   56.83683684    0.00021185
   56.94694695    0.00020614
   57.05705706    0.00020122
   57.16716717    0.00019706
   57.27727728    0.00019349
   57.38738739    0.00019032
   57.49749750    0.00018733
   57.60760761    0.00018438
   57.71771772    0.00018143
   57.82782783    0.00017847
   57.93793794    0.00017550
   58.04804805    0.00017253
   58.15815816    0.00016954
   58.26826827    0.00016653
   58.37837838    0.00016351
   58.48848849    0.00016050
   58.59859860    0.00015753
   58.70870871    0.00015462
   58.81881882    0.00015176
   58.92892893    0.00014895
   59.03903904    0.00014620
   59.14914915    0.00014352
   59.25925926    0.00014089
   59.36936937    0.00013827
   59.47947948    0.00013560
   59.58958959    0.00013283
   59.69969970    0.00012995
   59.80980981    0.00012699
   59.91991992    0.00012402
   60.03003003    0.00012115
   60.14014014    0.00011849
   60.25025025    0.00011611
   60.36036036    0.00011407
   60.47047047    0.00011234
   60.58058058    0.00011088
   60.69069069    0.00010961
   60.80080080    0.00010848
   60.91091091    0.00010746
   61.02102102    0.00010657
   61.13113113    0.00010585
   61.24124124    0.00010531
   61.35135135    0.00010492
   61.46146146    0.00010464
   61.57157157    0.00010440
   61.68168168    0.00010413
   61.79179179    0.00010374
   61.90190190    0.00010314
   62.01201201    0.00010222
   62.12212212    0.00010091
   62.23223223    0.00009918
   62.34234234    0.00009707
   62.45245245    0.00009469
   62.56256256    0.00009221
   62.67267267    0.00008976
   62.78278278    0.00008746
   62.89289289    0.00008536
   63.00300300    0.00008345
   63.11311311    0.00008171
   63.22322322    0.00008006
   63.33333333    0.00007845
   63.44344344    0.00007684
   63.55355355    0.00007521
   63.66366366    0.00007354
   63.77377377    0.00007188
   63.88388388    0.00007023
   63.99399399    0.00006864
   64.10410410    0.00006712
   64.21421421    0.00006567
   64.32432432    0.00006431
   64.43443443    0.00006302
   64.54454454    0.00006176
   64.65465465    0.00006052
   64.76476476    0.00005927
   64.87487487    0.00005798
   64.98498498    0.00005667
   65.09509510    0.00005536
   65.20520521    0.00005408
   65.31531532    0.00005286
   65.42542543    0.00005172
   65.53553554    0.00005065
   65.64564565    0.00004966
   65.75575576    0.00004875
   65.86586587    0.00004790
   65.97597598    0.00004711
   66.08608609    0.00004638
   66.19619620    0.00004569
   66.30630631    0.00004503
   66.41641642    0.00004441
   66.52652653    0.00004380
   66.63663664    0.00004320
   66.74674675    0.00004259
   66.85685686    0.00004196
   66.96696697    0.00004133
   67.07707708    0.00004070
   67.18718719    0.00004008
   67.29729730    0.00003948
   67.40740741    0.00003890
   67.51751752    0.00003836
   67.62762763    0.00003785
   67.73773774    0.00003739
   67.84784785    0.00003697
   67.95795796    0.00003658
   68.06806807    0.00003624
   68.17817818    0.00003593
   68.28828829    0.00003566
   68.39839840    0.00003541
   68.50850851    0.00003519
   68.61861862    0.00003499
   68.72872873    0.00003481
   68.83883884    0.00003467
   68.94894895    0.00003454
   69.05905906    0.00003445
   69.16916917    0.00003438
   69.27927928    0.00003434
   69.38938939    0.00003432
   69.49949950    0.00003432
   69.60960961    0.00003434
   69.71971972    0.00003439
   69.82982983    0.00003446
   69.93993994    0.00003454
   70.05005005    0.00003465
   70.16016016    0.00003478
   70.27027027    0.00003494
   70.38038038    0.00003513
   70.49049049    0.00003535
   70.60060060    0.00003560
   70.71071071    0.00003589
   70.82082082    0.00003620
   70.93093093    0.00003654
   71.04104104    0.00003690
   71.15115115    0.00003728
   71.26126126    0.00003767
   71.37137137    0.00003807
   71.48148148    0.00003848
   71.59159159    0.00003890
   71.70170170    0.00003933
   71.81181181    0.00003978
   71.92192192    0.00004025
   72.03203203    0.00004076
   72.14214214    0.00004130
   72.25225225    0.00004188
   72.36236236    0.00004250
   72.47247247    0.00004316
   72.58258258    0.00004385
   72.69269269    0.00004458
   72.80280280    0.00004534
   72.91291291    0.00004612
   73.02302302    0.00004693
   73.13313313    0.00004774
   73.24324324    0.00004856
   73.35335335    0.00004937
   73.46346346    0.00005017
   73.57357357    0.00005096
   73.68368368    0.00005173
   73.79379379    0.00005249
   73.90390390    0.00005327
   74.01401401    0.00005408
   74.12412412    0.00005496
   74.23423423    0.00005592
   74.34434434    0.00005699
   74.45445445    0.00005817
   74.56456456    0.00005946
   74.67467467    0.00006084
   74.78478478    0.00006228
   74.89489489    0.00006372
   75.00500501    0.00006513
   75.11511512    0.00006648
   75.22522523    0.00006774
   75.33533534    0.00006894
