# Final state angular momentum:   1
# Broadening parameter (in eV):    0.500
# Absorbing atom type (xiabs):   1
# Energy (eV)   sigma
   22.34234234    0.00557432
   22.43243243    0.00608681
   22.52252252    0.00654030
   22.61261261    0.00687222
   22.70270270    0.00701477
   22.79279279    0.00693846
   22.88288288    0.00668117
   22.97297297    0.00632228
   23.06306306    0.00592740
   23.15315315    0.00552126
   23.24324324    0.00510125
   23.33333333    0.00466230
   23.42342342    0.00421155
   23.51351351    0.00377062
   23.60360360    0.00336674
   23.69369369    0.00302069
   23.78378378    0.00274166
   23.87387387    0.00252942
   23.96396396    0.00237852
   24.05405405    0.00228112
   24.14414414    0.00222831
   24.23423423    0.00221154
   24.32432432    0.00222565
   24.41441441    0.00227196
   24.50450450    0.00235827
   24.59459459    0.00249498
   24.68468468    0.00269036
   24.77477477    0.00294642
   24.86486486    0.00325501
   24.95495495    0.00359300
   25.04504505    0.00391609
   25.13513514    0.00415523
   25.22522523    0.00423201
   25.31531532    0.00410150
   25.40540541    0.00378791
   25.49549550    0.00336902
   25.58558559    0.00292733
   25.67567568    0.00251734
   25.76576577    0.00216269
   25.85585586    0.00186709
   25.94594595    0.00162490
   26.03603604    0.00142756
   26.12612613    0.00126659
   26.21621622    0.00113468
   26.30630631    0.00102590
   26.39639640    0.00093555
   26.48648649    0.00085999
   26.57657658    0.00079638
   26.66666667    0.00074251
   26.75675676    0.00069667
   26.84684685    0.00065749
   26.93693694    0.00062392
   27.02702703    0.00059509
   27.11711712    0.00057035
   27.20720721    0.00054915
   27.29729730    0.00053105
   27.38738739    0.00051570
   27.47747748    0.00050284
   27.56756757    0.00049224
   27.65765766    0.00048373
   27.74774775    0.00047719
   27.83783784    0.00047253
   27.92792793    0.00046970
   28.01801802    0.00046866
   28.10810811    0.00046945
   28.19819820    0.00047210
   28.28828829    0.00047671
   28.37837838    0.00048338
   28.46846847    0.00049231
   28.55855856    0.00050372
   28.64864865    0.00051791
   28.73873874    0.00053527
   28.82882883    0.00055630
   28.91891892    0.00058163
   29.00900901    0.00061208
   29.09909910    0.00064869
   29.18918919    0.00069277
   29.27927928    0.00074598
   29.36936937    0.00081027
   29.45945946    0.00088786
   29.54954955    0.00098077
   29.63963964    0.00108994
   29.72972973    0.00121337
   29.81981982    0.00134370
   29.90990991    0.00146690
   30.00000000    0.00156601
   30.09009009    0.00163128
   30.18018018    0.00166883
   30.27027027    0.00169813
   30.36036036    0.00174152
   30.45045045    0.00181688
   30.54054054    0.00193694
   30.63063063    0.00211178
   30.72072072    0.00235126
   30.81081081    0.00266594
   30.90090090    0.00306571
   30.99099099    0.00355481
   31.08108108    0.00412131
   31.17117117    0.00472118
   31.26126126    0.00526578
   31.35135135    0.00563594
   31.44144144    0.00573967
   31.53153153    0.00557633
   31.62162162    0.00523567
   31.71171171    0.00483018
   31.80180180    0.00443431
   31.89189189    0.00407370
   31.98198198    0.00374994
   32.07207207    0.00346728
   32.16216216    0.00323935
   32.25225225    0.00307973
   32.34234234    0.00299185
   32.43243243    0.00296495
   32.52252252    0.00297527
   32.61261261    0.00299327
   32.70270270    0.00299431
   32.79279279    0.00296215
   32.88288288    0.00288206
   32.97297297    0.00273945
   33.06306306    0.00253283
   33.15315315    0.00228292
   33.24324324    0.00202245
   33.33333333    0.00177897
   33.42342342    0.00156710
   33.51351351    0.00139026
   33.60360360    0.00124525
   33.69369369    0.00112585
   33.78378378    0.00102524
   33.87387387    0.00093797
   33.96396396    0.00086108
   34.05405405    0.00079363
   34.14414414    0.00073539
   34.23423423    0.00068595
   34.32432432    0.00064460
   34.41441441    0.00061041
   34.50450450    0.00058252
   34.59459459    0.00056017
   34.68468468    0.00054278
   34.77477477    0.00052991
   34.86486486    0.00052131
   34.95495495    0.00051687
   35.04504505    0.00051664
   35.13513514    0.00052081
   35.22522523    0.00052976
   35.31531532    0.00054410
   35.40540541    0.00056465
   35.49549550    0.00059256
   35.58558559    0.00062935
   35.67567568    0.00067693
   35.76576577    0.00073761
   35.85585586    0.00081391
   35.94594595    0.00090791
   36.03603604    0.00102000
   36.12612613    0.00114670
   36.21621622    0.00127838
   36.30630631    0.00139874
   36.39639640    0.00148808
   36.48648649    0.00152881
   36.57657658    0.00151153
   36.66666667    0.00144039
   36.75675676    0.00133332
   36.84684685    0.00121399
   36.93693694    0.00110176
   37.02702703    0.00100758
   37.11711712    0.00093541
   37.20720721    0.00088540
   37.29729730    0.00085636
   37.38738739    0.00084708
   37.47747748    0.00085705
   37.56756757    0.00088669
   37.65765766    0.00093749
   37.74774775    0.00101199
   37.83783784    0.00111353
   37.92792793    0.00124546
   38.01801802    0.00140925
   38.10810811    0.00160067
   38.19819820    0.00180378
   38.28828829    0.00198582
   38.37837838    0.00210105
   38.46846847    0.00211127
   38.55855856    0.00201165
   38.64864865    0.00183431
   38.73873874    0.00162537
   38.82882883    0.00142119
   38.91891892    0.00124093
   39.00900901    0.00109054
   39.09909910    0.00096894
   39.18918919    0.00087231
   39.27927928    0.00079637
   39.36936937    0.00073727
   39.45945946    0.00069184
   39.54954955    0.00065762
   39.63963964    0.00063274
   39.72972973    0.00061581
   39.81981982    0.00060585
   39.90990991    0.00060221
   40.00000000    0.00060448
   40.09009009    0.00061253
   40.18018018    0.00062643
   40.27027027    0.00064648
   40.36036036    0.00067322
   40.45045045    0.00070744
   40.54054054    0.00075027
   40.63063063    0.00080322
   40.72072072    0.00086830
   40.81081081    0.00094817
   40.90090090    0.00104629
   40.99099099    0.00116703
   41.08108108    0.00131558
   41.17117117    0.00149751
   41.26126126    0.00171739
   41.35135135    0.00197572
   41.44144144    0.00226341
   41.53153153    0.00255522
   41.62162162    0.00280872
   41.71171171    0.00297879
   41.80180180    0.00304470
   41.89189189    0.00302402
   41.98198198    0.00295600
   42.07207207    0.00287651
   42.16216216    0.00281062
   42.25225225    0.00277881
   42.34234234    0.00280006
   42.43243243    0.00288780
   42.52252252    0.00304404
   42.61261261    0.00325395
   42.70270270    0.00348203
   42.79279279    0.00367751
   42.88288288    0.00379637
   42.97297297    0.00382737
   43.06306306    0.00379349
   43.15315315    0.00372758
   43.24324324    0.00365375
   43.33333333    0.00358917
   43.42342342    0.00355025
   43.51351351    0.00354758
   43.60360360    0.00357486
   43.69369369    0.00360769
   43.78378378    0.00361996
   43.87387387    0.00360614
   43.96396396    0.00358424
   44.05405405    0.00357381
   44.14414414    0.00357075
   44.23423423    0.00354134
   44.32432432    0.00344166
   44.41441441    0.00325109
   44.50450450    0.00298978
   44.59459459    0.00270330
   44.68468468    0.00243464
   44.77477477    0.00221001
   44.86486486    0.00204002
   44.95495495    0.00192632
   45.04504505    0.00186683
   45.13513514    0.00185796
   45.22522523    0.00189407
   45.31531532    0.00196452
   45.40540541    0.00204990
   45.49549550    0.00212156
   45.58558559    0.00215085
   45.67567568    0.00212614
   45.76576577    0.00206150
   45.85585586    0.00198614
   45.94594595    0.00192606
   46.03603604    0.00189309
   46.12612613    0.00188301
   46.21621622    0.00187900
   46.30630631    0.00186078
   46.39639640    0.00181748
   46.48648649    0.00175406
   46.57657658    0.00168438
   46.66666667    0.00161975
   46.75675676    0.00156497
   46.84684685    0.00152273
   46.93693694    0.00149851
   47.02702703    0.00150039
   47.11711712    0.00153553
   47.20720721    0.00160680
   47.29729730    0.00170968
   47.38738739    0.00182817
   47.47747748    0.00193196
   47.56756757    0.00198199
   47.65765766    0.00194910
   47.74774775    0.00183365
   47.83783784    0.00166440
   47.92792793    0.00147800
   48.01801802    0.00130145
   48.10810811    0.00114795
   48.19819820    0.00102089
   48.28828829    0.00091870
   48.37837838    0.00083805
   48.46846847    0.00077549
   48.55855856    0.00072802
   48.64864865    0.00069332
   48.73873874    0.00066968
   48.82882883    0.00065602
   48.91891892    0.00065174
   49.00900901    0.00065675
   49.09909910    0.00067142
   49.18918919    0.00069659
   49.27927928    0.00073358
   49.36936937    0.00078412
   49.45945946    0.00085017
   49.54954955    0.00093338
   49.63963964    0.00103406
   49.72972973    0.00114975
   49.81981982    0.00127399
   49.90990991    0.00139647
   50.00000000    0.00150444
   50.09009009    0.00158476
   50.18018018    0.00162854
   50.27027027    0.00163889
   50.36036036    0.00163320
   50.45045045    0.00163447
   50.54054054    0.00165976
   50.63063063    0.00171317
   50.72072072    0.00178328
   50.81081081    0.00184423
   50.90090090    0.00186459
   50.99099099    0.00182484
   51.08108108    0.00172968
   51.17117117    0.00160170
   51.26126126    0.00146485
   51.35135135    0.00133533
   51.44144144    0.00122221
   51.53153153    0.00113037
   51.62162162    0.00106201
   51.71171171    0.00101746
   51.80180180    0.00099622
   51.89189189    0.00099789
   51.98198198    0.00102273
   52.07207207    0.00107211
   52.16216216    0.00114863
   52.25225225    0.00125620
   52.34234234    0.00139977
   52.43243243    0.00158442
   52.52252252    0.00181307
   52.61261261    0.00208179
   52.70270270    0.00237260
   52.79279279    0.00264712
   52.88288288    0.00285036
   52.97297297    0.00293175
   53.06306306    0.00287150
   53.15315315    0.00268861
   53.24324324    0.00242739
   53.33333333    0.00213757
   53.42342342    0.00185861
   53.51351351    0.00161314
   53.60360360    0.00140926
   53.69369369    0.00124639
   53.78378378    0.00112031
   53.87387387    0.00102612
   53.96396396    0.00095953
   54.05405405    0.00091726
   54.14414414    0.00089687
   54.23423423    0.00089622
   54.32432432    0.00091247
   54.41441441    0.00094057
   54.50450450    0.00097168
   54.59459459    0.00099319
   54.68468468    0.00099306
   54.77477477    0.00096705
   54.86486486    0.00092199
   54.95495495    0.00087082
