# Final state angular momentum:   1
# Broadening parameter (in eV):    0.500
# Absorbing atom type (xiabs):   1
# Energy (eV)   sigma
   34.14414414    0.00220234
   34.23423423    0.00221490
   34.32432432    0.00224220
   34.41441441    0.00228488
   34.50450450    0.00234403
   34.59459459    0.00242131
   34.68468468    0.00251902
   34.77477477    0.00264025
   34.86486486    0.00278907
   34.95495495    0.00297080
   35.04504505    0.00319238
   35.13513514    0.00346279
   35.22522523    0.00379366
   35.31531532    0.00419980
   35.40540541    0.00469968
   35.49549550    0.00531518
   35.58558559    0.00606953
   35.67567568    0.00698108
   35.76576577    0.00804913
   35.85585586    0.00922851
   35.94594595    0.01039860
   36.03603604    0.01135651
   36.12612613    0.01188301
   36.21621622    0.01187634
   36.30630631    0.01143461
   36.39639640    0.01078947
   36.48648649    0.01017170
   36.57657658    0.00973637
   36.66666667    0.00956463
   36.75675676    0.00969389
   36.84684685    0.01014171
   36.93693694    0.01091250
   37.02702703    0.01198440
   37.11711712    0.01327503
   37.20720721    0.01459518
   37.29729730    0.01563251
   37.38738739    0.01603799
   37.47747748    0.01561983
   37.56756757    0.01447969
   37.65765766    0.01293123
   37.74774775    0.01129888
   37.83783784    0.00979321
   37.92792793    0.00850440
   38.01801802    0.00744617
   38.10810811    0.00659703
   38.19819820    0.00592475
   38.28828829    0.00539771
   38.37837838    0.00498902
   38.46846847    0.00467727
   38.55855856    0.00444611
   38.64864865    0.00428348
   38.73873874    0.00418079
   38.82882883    0.00413240
   38.91891892    0.00413513
   39.00900901    0.00418802
   39.09909910    0.00429226
   39.18918919    0.00445122
   39.27927928    0.00467071
   39.36936937    0.00495935
   39.45945946    0.00532916
   39.54954955    0.00579637
   39.63963964    0.00638233
   39.72972973    0.00711450
   39.81981982    0.00802679
   39.90990991    0.00915834
   40.00000000    0.01054777
   40.09009009    0.01221831
   40.18018018    0.01414739
   40.27027027    0.01622023
   40.36036036    0.01819261
   40.45045045    0.01973064
   40.54054054    0.02057946
   40.63063063    0.02075624
   40.72072072    0.02055039
   40.81081081    0.02031333
   40.90090090    0.02024250
   40.99099099    0.02028989
   41.08108108    0.02019691
   41.17117117    0.01965068
   41.26126126    0.01850540
   41.35135135    0.01688811
   41.44144144    0.01508751
   41.53153153    0.01337079
   41.62162162    0.01189500
   41.71171171    0.01071803
   41.80180180    0.00984172
   41.89189189    0.00924682
   41.98198198    0.00891227
   42.07207207    0.00882300
   42.16216216    0.00897026
   42.25225225    0.00934560
   42.34234234    0.00992673
   42.43243243    0.01065392
   42.52252252    0.01140471
   42.61261261    0.01199619
   42.70270270    0.01225308
   42.79279279    0.01211927
   42.88288288    0.01170422
   42.97297297    0.01120834
   43.06306306    0.01081473
   43.15315315    0.01063615
   43.24324324    0.01071224
   43.33333333    0.01101649
   43.42342342    0.01145504
   43.51351351    0.01187215
   43.60360360    0.01209311
   43.69369369    0.01200825
   43.78378378    0.01164006
   43.87387387    0.01112655
   43.96396396    0.01063290
   44.05405405    0.01026735
   44.14414414    0.01004444
   44.23423423    0.00988707
   44.32432432    0.00966160
   44.41441441    0.00925182
   44.50450450    0.00863532
   44.59459459    0.00789064
   44.68468468    0.00713257
   44.77477477    0.00644972
   44.86486486    0.00588689
   44.95495495    0.00545685
   45.04504505    0.00515690
   45.13513514    0.00498014
   45.22522523    0.00492091
   45.31531532    0.00497610
   45.40540541    0.00514325
   45.49549550    0.00541487
   45.58558559    0.00576845
   45.67567568    0.00615508
   45.76576577    0.00649879
   45.85585586    0.00672405
   45.94594595    0.00680525
   46.03603604    0.00679003
   46.12612613    0.00676511
   46.21621622    0.00679798
   46.30630631    0.00689835
   46.39639640    0.00700770
   46.48648649    0.00701843
   46.57657658    0.00683045
   46.66666667    0.00641907
   46.75675676    0.00584983
   46.84684685    0.00522629
   46.93693694    0.00463204
   47.02702703    0.00411069
   47.11711712    0.00367442
   47.20720721    0.00331864
   47.29729730    0.00303246
   47.38738739    0.00280408
   47.47747748    0.00262302
   47.56756757    0.00248066
   47.65765766    0.00237029
   47.74774775    0.00228677
   47.83783784    0.00222627
   47.92792793    0.00218602
   48.01801802    0.00216411
   48.10810811    0.00215932
   48.19819820    0.00217110
   48.28828829    0.00219943
   48.37837838    0.00224487
   48.46846847    0.00230857
   48.55855856    0.00239229
   48.64864865    0.00249860
   48.73873874    0.00263094
   48.82882883    0.00279389
   48.91891892    0.00299343
   49.00900901    0.00323731
   49.09909910    0.00353540
   49.18918919    0.00389991
   49.27927928    0.00434527
   49.36936937    0.00488677
   49.45945946    0.00553664
   49.54954955    0.00629563
   49.63963964    0.00713924
   49.72972973    0.00800442
   49.81981982    0.00879634
   49.90990991    0.00943598
   50.00000000    0.00992712
   50.09009009    0.01037378
   50.18018018    0.01092485
   50.27027027    0.01170291
   50.36036036    0.01276077
   50.45045045    0.01405344
   50.54054054    0.01541047
   50.63063063    0.01653957
   50.72072072    0.01712860
   50.81081081    0.01703667
   50.90090090    0.01640392
   50.99099099    0.01554651
   51.08108108    0.01475330
   51.17117117    0.01416007
   51.26126126    0.01372848
   51.35135135    0.01329005
   51.44144144    0.01264721
   51.53153153    0.01170358
   51.62162162    0.01052275
   51.71171171    0.00926166
   51.80180180    0.00806464
   51.89189189    0.00701307
   51.98198198    0.00613184
   52.07207207    0.00541366
   52.16216216    0.00483843
   52.25225225    0.00438346
   52.34234234    0.00402700
   52.43243243    0.00374807
   52.52252252    0.00352485
   52.61261261    0.00333457
   52.70270270    0.00315760
   52.79279279    0.00298427
   52.88288288    0.00281712
   52.97297297    0.00266529
   53.06306306    0.00253741
   53.15315315    0.00243855
   53.24324324    0.00237089
   53.33333333    0.00233540
   53.42342342    0.00233320
   53.51351351    0.00236619
   53.60360360    0.00243703
   53.69369369    0.00254822
   53.78378378    0.00269983
   53.87387387    0.00288483
   53.96396396    0.00308259
   54.05405405    0.00325455
   54.14414414    0.00335192
   54.23423423    0.00334065
   54.32432432    0.00322588
   54.41441441    0.00304847
   54.50450450    0.00285791
   54.59459459    0.00269060
   54.68468468    0.00256558
   54.77477477    0.00248995
   54.86486486    0.00246496
   54.95495495    0.00248924
   55.04504505    0.00255910
   55.13513514    0.00266602
   55.22522523    0.00279252
   55.31531532    0.00291017
   55.40540541    0.00298658
   55.49549550    0.00300311
   55.58558559    0.00296888
   55.67567568    0.00291475
   55.76576577    0.00287429
   55.85585586    0.00287033
   55.94594595    0.00291226
   56.03603604    0.00299799
   56.12612613    0.00311742
   56.21621622    0.00325903
   56.30630631    0.00342006
   56.39639640    0.00361287
   56.48648649    0.00385978
   56.57657658    0.00417966
   56.66666667    0.00457359
   56.75675676    0.00501086
   56.84684685    0.00541810
   56.93693694    0.00568790
   57.02702703    0.00572504
   57.11711712    0.00550807
   57.20720721    0.00510308
   57.29729730    0.00461434
   57.38738739    0.00412890
   57.47747748    0.00369629
   57.56756757    0.00333491
   57.65765766    0.00304499
   57.74774775    0.00281882
   57.83783784    0.00264654
   57.92792793    0.00251886
   58.01801802    0.00242800
   58.10810811    0.00236786
   58.19819820    0.00233379
   58.28828829    0.00232241
   58.37837838    0.00233135
   58.46846847    0.00235907
   58.55855856    0.00240470
   58.64864865    0.00246798
   58.73873874    0.00254920
   58.82882883    0.00264914
   58.91891892    0.00276913
   59.00900901    0.00291103
   59.09909910    0.00307736
   59.18918919    0.00327132
   59.27927928    0.00349703
   59.36936937    0.00375962
   59.45945946    0.00406559
   59.54954955    0.00442305
   59.63963964    0.00484221
   59.72972973    0.00533595
   59.81981982    0.00592052
   59.90990991    0.00661662
   60.00000000    0.00745087
   60.09009009    0.00845786
   60.18018018    0.00968253
   60.27027027    0.01118227
   60.36036036    0.01302798
   60.45045045    0.01530230
   60.54054054    0.01809022
   60.63063063    0.02145325
   60.72072072    0.02537443
   60.81081081    0.02966936
   60.90090090    0.03389921
   60.99099099    0.03739466
   61.08108108    0.03949580
   61.17117117    0.03989543
   61.26126126    0.03876682
   61.35135135    0.03655174
   61.44144144    0.03364739
   61.53153153    0.03029448
   61.62162162    0.02668945
   61.71171171    0.02308049
   61.80180180    0.01971579
   61.89189189    0.01675492
   61.98198198    0.01424890
   62.07207207    0.01217415
   62.16216216    0.01047317
   62.25225225    0.00908115
   62.34234234    0.00793861
   62.43243243    0.00699561
   62.52252252    0.00621194
   62.61261261    0.00555586
   62.70270270    0.00500254
   62.79279279    0.00453251
   62.88288288    0.00413053
   62.97297297    0.00378453
   63.06306306    0.00348496
   63.15315315    0.00322416
   63.24324324    0.00299597
   63.33333333    0.00279540
   63.42342342    0.00261837
   63.51351351    0.00246152
   63.60360360    0.00232209
   63.69369369    0.00219776
   63.78378378    0.00208663
   63.87387387    0.00198706
   63.96396396    0.00189769
   64.05405405    0.00181737
   64.14414414    0.00174509
   64.23423423    0.00168001
   64.32432432    0.00162134
   64.41441441    0.00156840
   64.50450450    0.00152056
   64.59459459    0.00147731
   64.68468468    0.00143826
   64.77477477    0.00140314
   64.86486486    0.00137172
   64.95495495    0.00134380
   65.04504505    0.00131917
   65.13513514    0.00129766
   65.22522523    0.00127909
   65.31531532    0.00126333
   65.40540541    0.00125025
   65.49549550    0.00123978
   65.58558559    0.00123183
   65.67567568    0.00122637
   65.76576577    0.00122336
   65.85585586    0.00122281
   65.94594595    0.00122472
   66.03603604    0.00122915
   66.12612613    0.00123615
   66.21621622    0.00124581
   66.30630631    0.00125825
   66.39639640    0.00127363
   66.48648649    0.00129211
   66.57657658    0.00131392
   66.66666667    0.00133934
   66.75675676    0.00136868
   66.84684685    0.00140235
   66.93693694    0.00144080
   67.02702703    0.00148462
   67.11711712    0.00153448
   67.20720721    0.00159123
   67.29729730    0.00165586
   67.38738739    0.00172961
   67.47747748    0.00181394
   67.56756757    0.00191058
   67.65765766    0.00202154
   67.74774775    0.00214906
   67.83783784    0.00229561
   67.92792793    0.00246427
   68.01801802    0.00265941
   68.10810811    0.00288772
   68.19819820    0.00315852
   68.28828829    0.00348345
   68.37837838    0.00387558
   68.46846847    0.00434798
   68.55855856    0.00491010
   68.64864865    0.00555995
   68.73873874    0.00627107
   68.82882883    0.00697955
   68.91891892    0.00758890
   69.00900901    0.00801315
   69.09909910    0.00823981
   69.18918919    0.00834864
   69.27927928    0.00846200
   69.36936937    0.00868139
   69.45945946    0.00905725
   69.54954955    0.00958784
   69.63963964    0.01022833
   69.72972973    0.01090028
   69.81981982    0.01150140
   69.90990991    0.01193359
   70.00000000    0.01216301
   70.09009009    0.01226444
   70.18018018    0.01239146
   70.27027027    0.01270485
   70.36036036    0.01333020
   70.45045045    0.01435805
   70.54054054    0.01585865
   70.63063063    0.01788730
   70.72072072    0.02046798
   70.81081081    0.02354892
   70.90090090    0.02693469
   70.99099099    0.03022825
   71.08108108    0.03285456
