# final state angular momentum:   2
# Broadening parameter (in eV):    0.800
# Absorbing atom type (xiabs):   1
# Energy (eV)   sigma_tot   sigma_up    sigma_down 
   11.37123746    0.00000073    0.00000016    0.00000057
   11.47157191    0.00000069    0.00000015    0.00000054
   11.57190635    0.00000066    0.00000015    0.00000052
   11.67224080    0.00000064    0.00000014    0.00000049
   11.77257525    0.00000061    0.00000014    0.00000047
   11.87290970    0.00000059    0.00000013    0.00000046
   11.97324415    0.00000057    0.00000013    0.00000044
   12.07357860    0.00000055    0.00000013    0.00000042
   12.17391304    0.00000053    0.00000012    0.00000041
   12.27424749    0.00000052    0.00000012    0.00000040
   12.37458194    0.00000050    0.00000012    0.00000039
   12.47491639    0.00000049    0.00000012    0.00000037
   12.57525084    0.00000048    0.00000011    0.00000036
   12.67558528    0.00000047    0.00000011    0.00000036
   12.77591973    0.00000046    0.00000011    0.00000035
   12.87625418    0.00000045    0.00000011    0.00000034
   12.97658863    0.00000044    0.00000011    0.00000033
   13.07692308    0.00000043    0.00000011    0.00000032
   13.17725753    0.00000042    0.00000011    0.00000032
   13.27759197    0.00000042    0.00000011    0.00000031
   13.37792642    0.00000041    0.00000011    0.00000031
   13.47826087    0.00000040    0.00000010    0.00000030
   13.57859532    0.00000040    0.00000010    0.00000030
   13.67892977    0.00000039    0.00000010    0.00000029
   13.77926421    0.00000039    0.00000010    0.00000029
   13.87959866    0.00000039    0.00000010    0.00000028
   13.97993311    0.00000038    0.00000010    0.00000028
   14.08026756    0.00000038    0.00000010    0.00000028
   14.18060201    0.00000038    0.00000011    0.00000028
   14.28093645    0.00000038    0.00000011    0.00000028
   14.38127090    0.00000038    0.00000011    0.00000028
   14.48160535    0.00000038    0.00000011    0.00000028
   14.58193980    0.00000039    0.00000011    0.00000028
   14.68227425    0.00000039    0.00000011    0.00000028
   14.78260870    0.00000040    0.00000012    0.00000028
   14.88294314    0.00000041    0.00000012    0.00000029
   14.98327759    0.00000042    0.00000012    0.00000029
   15.08361204    0.00000043    0.00000013    0.00000030
   15.18394649    0.00000044    0.00000013    0.00000031
   15.28428094    0.00000045    0.00000014    0.00000031
   15.38461538    0.00000047    0.00000015    0.00000032
   15.48494983    0.00000048    0.00000015    0.00000033
   15.58528428    0.00000050    0.00000016    0.00000034
   15.68561873    0.00000051    0.00000017    0.00000034
   15.78595318    0.00000052    0.00000017    0.00000035
   15.88628763    0.00000053    0.00000018    0.00000035
   15.98662207    0.00000054    0.00000019    0.00000036
   16.08695652    0.00000055    0.00000019    0.00000036
   16.18729097    0.00000056    0.00000020    0.00000037
   16.28762542    0.00000058    0.00000020    0.00000037
   16.38795987    0.00000059    0.00000021    0.00000038
   16.48829431    0.00000060    0.00000022    0.00000039
   16.58862876    0.00000062    0.00000023    0.00000039
   16.68896321    0.00000062    0.00000023    0.00000039
   16.78929766    0.00000062    0.00000024    0.00000038
