# Final state angular momentum:   1
# Broadening parameter (in eV):    1.500
# Absorbing atom type (xiabs):   1
# Energy (eV)   sigma_tot   sigma_up    sigma_down 
    8.66220736    0.00042281    0.00022234    0.00020047
    8.76254181    0.00042125    0.00022119    0.00020006
    8.86287625    0.00042099    0.00022073    0.00020026
    8.96321070    0.00042203    0.00022095    0.00020108
    9.06354515    0.00042435    0.00022186    0.00020250
    9.16387960    0.00042795    0.00022344    0.00020450
    9.26421405    0.00043281    0.00022571    0.00020710
    9.36454849    0.00043893    0.00022865    0.00021028
    9.46488294    0.00044630    0.00023226    0.00021403
    9.56521739    0.00045491    0.00023655    0.00021836
    9.66555184    0.00046477    0.00024151    0.00022326
    9.76588629    0.00047585    0.00024714    0.00022871
    9.86622074    0.00048817    0.00025344    0.00023473
    9.96655518    0.00050171    0.00026042    0.00024130
   10.06688963    0.00051649    0.00026807    0.00024842
   10.16722408    0.00053251    0.00027641    0.00025610
   10.26755853    0.00054981    0.00028545    0.00026436
   10.36789298    0.00056843    0.00029522    0.00027321
   10.46822742    0.00058847    0.00030575    0.00028272
   10.56856187    0.00061001    0.00031710    0.00029292
   10.66889632    0.00063321    0.00032932    0.00030388
   10.76923077    0.00065821    0.00034251    0.00031570
   10.86956522    0.00068519    0.00035674    0.00032845
   10.96989967    0.00071436    0.00037211    0.00034225
   11.07023411    0.00074591    0.00038872    0.00035718
   11.17056856    0.00078002    0.00040667    0.00037335
   11.27090301    0.00081687    0.00042603    0.00039084
   11.37123746    0.00085663    0.00044689    0.00040975
   11.47157191    0.00089942    0.00046929    0.00043013
   11.57190635    0.00094533    0.00049328    0.00045204
   11.67224080    0.00099441    0.00051888    0.00047553
   11.77257525    0.00104667    0.00054607    0.00050060
   11.87290970    0.00110207    0.00057482    0.00052725
   11.97324415    0.00116052    0.00060506    0.00055546
   12.07357860    0.00122183    0.00063669    0.00058514
   12.17391304    0.00128575    0.00066957    0.00061618
   12.27424749    0.00135191    0.00070349    0.00064842
   12.37458194    0.00141982    0.00073819    0.00068162
   12.47491639    0.00148879    0.00077332    0.00071547
   12.57525084    0.00155797    0.00080843    0.00074954
   12.67558528    0.00162631    0.00084297    0.00078334
   12.77591973    0.00169257    0.00087631    0.00081626
   12.87625418    0.00175540    0.00090776    0.00084764
   12.97658863    0.00181338    0.00093660    0.00087678
   13.07692308    0.00186512    0.00096215    0.00090297
   13.17725753    0.00190938    0.00098379    0.00092560
   13.27759197    0.00194512    0.00100103    0.00094409
   13.37792642    0.00197155    0.00101351    0.00095805
   13.47826087    0.00198819    0.00102101    0.00096718
   13.57859532    0.00199482    0.00102348    0.00097134
   13.67892977    0.00199146    0.00102093    0.00097053
   13.77926421    0.00197840    0.00101353    0.00096486
   13.87959866    0.00195611    0.00100153    0.00095458
   13.97993311    0.00192533    0.00098528    0.00094005
   14.08026756    0.00188699    0.00096526    0.00092174
   14.18060201    0.00184227    0.00094203    0.00090024
   14.28093645    0.00179251    0.00091627    0.00087624
   14.38127090    0.00173916    0.00088870    0.00085046
   14.48160535    0.00168373    0.00086008    0.00082365
   14.58193980    0.00162766    0.00083112    0.00079654
   14.68227425    0.00157230    0.00080249    0.00076981
   14.78260870    0.00151878    0.00077477    0.00074401
   14.88294314    0.00146805    0.00074842    0.00071963
   14.98327759    0.00142082    0.00072378    0.00069703
   15.08361204    0.00137758    0.00070111    0.00067647
   15.18394649    0.00133866    0.00068055    0.00065811
   15.28428094    0.00130418    0.00066215    0.00064203
   15.38461538    0.00127418    0.00064593    0.00062825
   15.48494983    0.00124856    0.00063185    0.00061671
   15.58528428    0.00122718    0.00061984    0.00060734
   15.68561873    0.00120982    0.00060980    0.00060002
   15.78595318    0.00119626    0.00060163    0.00059463
   15.88628763    0.00118622    0.00059523    0.00059100
   15.98662207    0.00117942    0.00059045    0.00058897
   16.08695652    0.00117550    0.00058714    0.00058835
   16.18729097    0.00117405    0.00058512    0.00058894
   16.28762542    0.00117458    0.00058412    0.00059046
   16.38795987    0.00117648    0.00058387    0.00059261
   16.48829431    0.00117907    0.00058402    0.00059505
   16.58862876    0.00118155    0.00058419    0.00059736
   16.68896321    0.00118309    0.00058398    0.00059911
   16.78929766    0.00118285    0.00058298    0.00059988
   16.88963211    0.00118006    0.00058082    0.00059924
   16.98996656    0.00117408    0.00057722    0.00059686
   17.09030100    0.00116451    0.00057198    0.00059253
   17.19063545    0.00115118    0.00056502    0.00058615
   17.29096990    0.00113421    0.00055642    0.00057779
   17.39130435    0.00111399    0.00054636    0.00056764
   17.49163880    0.00109113    0.00053512    0.00055602
   17.59197324    0.00106637    0.00052305    0.00054332
   17.69230769    0.00104053    0.00051054    0.00052999
   17.79264214    0.00101444    0.00049799    0.00051646
   17.89297659    0.00098887    0.00048574    0.00050313
   17.99331104    0.00096451    0.00047413    0.00049038
   18.09364548    0.00094193    0.00046342    0.00047851
   18.19397993    0.00092160    0.00045383    0.00046777
   18.29431438    0.00090389    0.00044555    0.00045835
   18.39464883    0.00088908    0.00043869    0.00045039
   18.49498328    0.00087739    0.00043336    0.00044402
   18.59531773    0.00086895    0.00042964    0.00043931
   18.69565217    0.00086389    0.00042758    0.00043632
   18.79598662    0.00086229    0.00042721    0.00043508
   18.89632107    0.00086421    0.00042858    0.00043563
   18.99665552    0.00086970    0.00043171    0.00043799
   19.09698997    0.00087878    0.00043661    0.00044217
   19.19732441    0.00089147    0.00044329    0.00044818
   19.29765886    0.00090775    0.00045175    0.00045601
   19.39799331    0.00092759    0.00046197    0.00046562
   19.49832776    0.00095088    0.00047390    0.00047698
   19.59866221    0.00097747    0.00048748    0.00048999
   19.69899666    0.00100710    0.00050258    0.00050452
   19.79933110    0.00103942    0.00051902    0.00052040
   19.89966555    0.00107394    0.00053656    0.00053737
   20.00000000    0.00111001    0.00055490    0.00055512
